rownumber,자치단체코드(신고지역),인허가번호,서비스id,데이터갱신구분,데이터갱신일자,서비스id명,사업장명,지번우편번호,지번주소,도로명우편번호,도로명주소,인허가일자,폐업일자,휴업시작일자,휴업종료일자,재개업일자,영업상태,상세영업상태,좌표정보(x),좌표정보(y),최종수정일자,업태구분명,전화번호,개관일자,객실수,건물용도명,건축연면적,기념품종류,기획여행보험시작일자,기획여행보험종료일자,놀이기구수내역,놀이시설수,무대면적,문화사업자구분명,문화체육업종명,박물관미술관유형명,박물관미술관종류명,발전시설유무,방송시설유무,법인명,법인설립목적,법인해산일자,보험기관명,보험시작일자,보험종료일자,부대시설내역,선박제원,선박척수,선박총톤수,설립_운영주체구분명,소요자금,승려수,시설규모,시설면적,신도수,안내소유무,영문상호명,영문상호주소,유래연혁,의무실유무,자본금,전통사찰명,제작취급품목내용,좌석수,주변환경명,준공일자,지상층수,지역구분명,지정취소,지정취소사유,지정취소일자,지하층수,창립연대,총층수,폐관사유,폐관일자,허가조건,회의실별동시수용인원
5,3320000,CDFI5272002017000001,03_07_08_P,U,2025-04-16 02:40:00,유원시설업(기타),샤랄랄라,,부산광역시 북구 금곡동 1874-3 농협하나로클럽,46519,"부산광역시 북구 금곡대로 469, 농협하나로클럽 2층 (금곡동)",2017-12-14,,,,,영업/정상,영업중,382983.91775577,196375.470354374,2025-04-14 10:06:12,,051-361-1131,,0,,0,,,,,0,0,,신고유원시설업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
1,3400000,CDFI5271002025000001,03_07_09_P,U,2025-03-30 02:40:00,일반유원시설업,한국랜드,,부산광역시 기장군 기장읍 시랑리 산 46,46083,"부산광역시 기장군 기장읍 동부산관광로 34, 2층",2025-01-24,,,,,영업/정상,영업중,401648.172377821,190623.521052889,2025-03-28 06:34:57,,,,0,,0,,,,"안전성검사 대상 유기기구 1종, 안전성검사 비대상 유기기구 5종",0,0,,허가유원시설업,,,,Y,,,,,,,,,0,0,,,,0,0,,Y,,,,Y,0,,,0,,,0,,,,,0,,0,,,,0
4,3290000,CDFI2262102023000001,03_07_10_P,U,2025-04-03 02:40:00,전문휴양업,국제빌딩,,부산광역시 부산진구 양정동 321-2,47211,부산광역시 부산진구 거제대로 70 (양정동),2023-03-03,,,,,영업/정상,영업중,388361.019913516,188140.258492077,2025-04-01 18:28:39,,051-986-5000,,0,,0,,,,,0,0,,전문휴양업,,,,,,,,,,,,,0,0,,,,0,0,,,,,,,0,,,0,,,0,,,,,0,,0,,,,0
1,3260000,CDFI3261102021000001,03_07_01_P,I,2021-01-27 00:23:03,관광궤도업,(주)송도해상케이블카,,부산광역시 서구 암남동 765 송도케이블카 하부정류장,49269,"부산광역시 서구 송도해변로 171, 송도케이블카 하부정류장 (암남동)",2021-01-25,,,,,영업/정상,영업중,384476.239479426,177168.188216136,2021-01-25 13:53:39,,051-247-9900,,,,,,,,,,,,관광궤도업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,주거지역,,,,,,,,,,
2,3400000,CDFI3261102021000001,03_07_01_P,I,2021-07-03 00:22:53,관광궤도업,스카이라인루지부산,,부산광역시 기장군 기장읍 시랑리 산 46,46083,"부산광역시 기장군 기장읍 기장해안로 205, [*미고시]",2021-07-01,,,,,영업/정상,영업중,401648.172377821,190623.521052889,2021-07-01 11:34:52,,051-722-6002,,,,,,,,,,,,관광궤도업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6260000,C02001991000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,금호관광나이트클럽,,부산광역시 동구 범일동 830 - 253,,부산광역시 동구 범일로90번길 13 (범일동),1991-04-16,,,,,영업/정상,영업,387761.284235594,184056.079818088,2005-05-20 15:54:32,,0516363366,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
2,6260000,C02001999000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,신라,,부산광역시 중구 보수동2가 80 - 6,,,1999-07-21,,,,,영업/정상,영업,,,2005-05-20 09:42:37,,0512436161,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,150000000,,,,,,,,,,,,,,,,,
3,6260000,C02002000000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,가야성,,부산광역시 부산진구 개금동 156 - 2,,부산광역시 부산진구 부전로96번길 3 (부전동),2000-06-09,,,,,영업/정상,영업,384622.168049969,185714.855471693,2013-12-30 17:26:28,,,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,700000000,,,,,,,,,,,,,,,,,
4,6260000,C02002001000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,코리아나나이트클럽,,부산광역시 금정구 구서동 84 - 10,,부산광역시 금정구 금정로237번길 14 (구서동),2001-11-09,,,,,영업/정상,영업,390317.121490107,196089.100911542,2005-05-20 10:07:16,,0515823927,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,500000000,,,,,,,,,,,,,,,,,
5,6260000,C02002001000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,글로리나이트클럽,,부산광역시 사상구 괘법동 564 - 25,,부산광역시 사상구 광장로 46 (괘법동),2001-02-24,,,,,영업/정상,영업,380460.313281968,186548.086870476,2013-12-30 17:15:35,,,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,1500000000,,,,,,,,,,,,,,,,,
6,6260000,C02001999000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,판코리아나이트클럽,,부산광역시 수영구 광안동 50 - 1,,부산광역시 수영구 수영로 712 (광안동),1999-07-02,,,,,영업/정상,영업,392840.92821287,187459.200030183,2005-05-20 10:01:52,,0517541451,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,,,,,,,,,,,,,,,,,
7,6260000,C07002004000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)씨스카이투어,,부산광역시 중구 대창동1가 25 - 2 한일빌딩,,"부산광역시 중구 중앙대로 113-1 (대창동1가,한일빌딩)",2004-06-18,,,,,영업/정상,영업,385578.122719036,180649.789732156,2007-01-29 15:02:24,,0512557692,,,,,,,,,,,,여행업,,,,,,,,,,,,,,,,,,,,,,,,,,350000000,,,,,,,,,,,,,,,,,
8,6260000,C07002005000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)뉴부산여행사,,부산광역시 부산진구 부전동 257 - 37,,부산광역시 부산진구 중앙대로 721-1 (부전동),2005-04-04,,,,,영업/정상,영업,387499.213775323,186152.902131289,2007-08-23 14:53:59,,0518168811,,,,,,,,,,,,여행업,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
9,6260000,C07002009000010,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)올래여행사,,부산광역시 중구 중앙동4가 23 - 1 1214호,,"부산광역시 중구 중앙대로 80, 1214호 (중앙동4가)",2009-09-11,,,,,영업/정상,영업,385630.742187332,180306.821082315,2009-09-11 11:04:29,,,,,,,,,,,,,,여행업,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
10,6260000,C02002002000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,기린,,부산광역시 동구 초량동 1204 - 11,,부산광역시 동구 중앙대로196번길 12-14 (초량동),2002-09-28,,,,,영업/정상,영업,385914.528207627,181260.233895077,2005-05-19 16:00:21,,0514634467,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,220000000,,,,,,,,,,,,,,,,,
11,6260000,C07002007000006,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)엔티피 투어,,부산광역시 중구 중앙동4가 48 - 2 301호,,"부산광역시 중구 해관로 71-1, 301호 (중앙동4가)",2007-11-06,,,,,영업/정상,영업,385499.194292925,180359.267537829,2009-06-30 15:09:13,,0514425730,,,,,,,,,,,,여행업,,,,,,,,,,,,,,,,,,,,,,,,,,400000000,,,,,,,,,,,,,,,,,
12,6260000,C07002009000009,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주) 올래여행사,,부산광역시 중구 중앙동4가 23 - 1 1214호,,"부산광역시 중구 중앙대로 80, 1214호 (중앙동4가)",2009-09-11,,,,,영업/정상,영업,385630.742187332,180306.821082315,2009-09-11 10:49:08,,0514668866,,,,,,,,,,,,여행업,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
13,6260000,C02002002000003,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,카사관광나이트클럽,,부산광역시 북구 덕천동 353 - 10,,부산광역시 북구 낙동대로1781번길 6 (덕천동),2002-12-12,,,,,영업/정상,영업,382435.927543591,191936.347387708,2008-02-27 18:24:50,,0513351133,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,,,,,,,,,,,,,,,,,
14,6260000,C02002002000004,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,뉴부산항나이트클럽,,부산광역시 영도구 영선동2가 1 - 1,,부산광역시 영도구 절영로35번길 56 (영선동2가),2002-11-07,,,,,영업/정상,영업,386166.413273852,178682.782773492,2005-05-20 10:32:06,,0514151199,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,300000000,,,,,,,,,,,,,,,,,
15,6260000,C02002002000005,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,파라다이스나이트클럽,,부산광역시 사상구 괘법동 273 - 1,,부산광역시 사상구 사상로224번길 14 (괘법동),2002-12-27,,,,,영업/정상,영업,380715.898450373,186906.669731932,2005-05-20 15:46:27,,0513152327,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,700000000,,,,,,,,,,,,,,,,,
16,6260000,C02002003000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,아라비안나이트클럽,,부산광역시 연제구 연산동 1127 - 1,,부산광역시 연제구 월드컵대로164번길 26 (연산동),2003-05-26,,,,,영업/정상,영업,389323.477295711,189599.47378324,2005-05-18 15:34:01,,,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,5521495005,,,,,,,,,,,,,,,,,
17,6260000,C02002003000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,무스탕관광나이트클럽,,부산광역시 동래구 온천동 460 - 6,,,2003-04-29,,,,,영업/정상,영업,389479.03847268,192774.203546772,2005-05-19 15:45:51,,0515535574,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,500000000,,,,,,,,,,,,,,,,,
18,6260000,C02002002000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,굿 유에스에이,,부산광역시 사하구 괴정동 1011 - 31,,부산광역시 사하구 사하로 202-4 (괴정동),2002-11-11,,,,,영업/정상,영업,381784.158546084,179675.088507497,2005-05-19 16:15:17,,0512035777,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
19,6260000,C02002004000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,챔피언나이트클럽,,부산광역시 부산진구 부전동 534 - 2,,부산광역시 부산진구 서면로 10 (부전동),2004-06-02,,,,,영업/정상,영업,387482.739380339,185523.630647005,2005-05-18 15:35:37,,0518076677,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,300000000,,,,,,,,,,,,,,,,,
20,6260000,C02002004000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)아름관광,,부산광역시 동구 초량동 569 - 2,,부산광역시 동구 대영로243번길 38 (초량동),2004-04-08,,,,,영업/정상,영업,385745.079152515,181315.618789113,2005-05-19 15:54:08,,0514630084,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,650000000,,,,,,,,,,,,,,,,,
21,6260000,C02002005000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,쥴리아나 나이트크럽,,부산광역시 동구 범일동 830 - 65,,부산광역시 동구 조방로 10 (범일동),2005-04-11,,,,,영업/정상,영업,388002.4483073,184046.278156801,2005-05-17 17:22:48,,,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,650000000,,,,,,,,,,,,,,,,,
22,6260000,C02002005000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,메리트 나이트크럽,,부산광역시 사하구 괴정동 950 - 2,,부산광역시 사하구 사하로 189 (괴정동),2005-05-17,,,,,영업/정상,영업,381700.901583542,179527.764746144,2005-05-17 17:26:58,,0512012276,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,400000000,,,,,,,,,,,,,,,,,
23,6260000,C02002007000006,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,뉴캐슬,,부산광역시 영도구 영선동2가 11 - 9,,,2007-08-24,,,,,영업/정상,영업,,,2007-08-24 10:07:33,,,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
24,6260000,C02002007000007,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,로마나이트클럽,,부산광역시 연제구 연산동 1124 - 25,,부산광역시 연제구 중앙대로 1121 (연산동),2007-07-26,,,,,영업/정상,영업,389454.194848259,189594.690381012,2007-08-24 10:16:18,,,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
25,6260000,C02002007000008,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,뉴아시아드,,부산광역시 동래구 온천동 137,,부산광역시 동래구 온천장로107번길 32 (온천동),2007-07-26,,,,,영업/정상,영업,389553.269396339,193306.748089046,2007-11-05 10:34:46,,,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
26,6260000,C02002007000009,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,금호관광나이트클럽,,부산광역시 동구 범일동 830 - 253,,부산광역시 동구 범일로90번길 13 (범일동),2007-09-03,,,,,영업/정상,영업,387761.284235594,184056.079818088,2007-09-03 11:22:58,,0517564396,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
27,6260000,C02002007000010,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,한국관나이트크럽,,부산광역시 사상구 괘법동 564 - 25,,부산광역시 사상구 광장로 46 (괘법동),2007-11-13,,,,,영업/정상,영업,380460.313281968,186548.086870476,2013-12-31 09:42:18,,0513282001,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
28,6260000,C02002009000007,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,부산관광개발(주),,부산광역시 동구 초량동 1205 - 1 401호,,"부산광역시 동구 중앙대로 192, 401호 (초량동)",2009-03-10,,,,,영업/정상,영업,385885.652834827,181374.673098149,2009-03-19 18:09:10,,0514649898,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,15000000000,,,,,,,,,,,,,,,,,
29,6260000,C02002009000008,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,부산관광개발(주),,부산광역시 동구 초량동 1205 - 1,,부산광역시 동구 중앙대로 192 (초량동),2009-08-03,,,,,영업/정상,영업,385885.652834827,181374.673098149,2009-08-03 16:22:47,,0514649898,,,,,,,,,,,,관광객편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
30,6260000,C07001994000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)우주여행사,,부산광역시 동구 초량동 1169 - 11,,부산광역시 동구 중앙대로 264 (초량동),1994-03-14,,,,,영업/정상,영업,386151.607173136,182025.581590054,2008-07-25 13:49:43,,0514622215,,,,,,,,,,,,여행업,,,,,,,,,,,,,,,,,,,,,,,,,,350000000,,,,,,,,,,,,,,,,,
31,6260000,C07001998000001,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)명문여행사,,부산광역시 부산진구 양정동 406 - 11,,부산광역시 부산진구 중앙대로 939 (양정동),1998-01-23,,,,,영업/정상,영업,388654.156205285,188043.450340575,2008-07-02 10:54:47,,0518521231,,,,,,,,,,,,여행업,,,,,,,,,,,,,,,,,,,,,,,,,,350000000,,,,,,,,,,,,,,,,,
32,6260000,C07002000000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)마인여행사,,부산광역시 동구 범일동 830 - 136,,부산광역시 동구 조방로16번길 5 (범일동),2000-06-05,,,,,영업/정상,영업,387936.44662896,184157.711090932,2008-01-28 17:36:26,,0512539001,,,,,,,,,,,,여행업,,,,,,,,,,,,,,,,,,,,,,,,,,350000000,,,,,,,,,,,,,,,,,
33,6260000,C07002001000002,03_07_02_P,I,2018-08-31 23:59:59,관광사업자,(주)서천양행,,부산광역시 금정구 장전동 385 - 26,,부산광역시 금정구 금강로 303 (장전동),2001-07-11,,,,,영업/정상,영업,,,2008-03-19 12:36:19,,0515142123,,,,,,,,,,,,여행업,,,,,,,,,20070711,20080711,,,,,,,,,,,,,,,,350000000,,,,,,,,,,,,,,,,,
3,6260000,B04012019000001,03_07_05_P,U,2024-10-11 02:40:00,"박물관, 미술관",한국거래소 자본시장역사박물관,,부산광역시 남구 문현동 1229번지 1호  00동 00호,,"부산광역시 남구 문현금융로 40-0, 00동 00호 (문현동,부산국제금융센터)",2018-11-01,,,,,영업/정상,영업,388182.381367829,185024.662471639,2019-04-30 18:13:58,,,20181101,,,,,,,,,,,박물관,전문박물관,1종,,,,,,,,,,,,,사립,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6260000,B04011992000001,03_07_05_P,U,2024-10-11 02:40:00,"박물관, 미술관",부산광역시립박물관,,부산광역시 남구 대연동 948번지 1호,,부산광역시 남구 유엔평화로 63 (대연동),1992-12-21,,,,,영업/정상,영업,390777.995643386,183167.670840399,2011-10-31 09:01:55,,,19780711,,,,,,,,,,,박물관,종합박물관,1종,,,,,,,,,,,,,국립,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6260000,B04011993000001,03_07_05_P,U,2024-10-11 02:40:00,"박물관, 미술관",복천박물관,,부산광역시 동래구 복천동 50번지,,부산광역시 동래구 복천로 66 (복천동),1993-07-29,,,,,영업/정상,영업,390295.562308612,191707.832192132,2011-10-31 08:58:21,,,19961005,,,,,,,,,,,박물관,종합박물관,1종,,,,,,,,,,,,,국립,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6260000,B04012007000001,03_07_05_P,U,2024-11-17 02:40:00,"박물관, 미술관",부산포민속박물관,,부산광역시 부산진구 부전동 168번지 176호,,부산광역시 부산진구 중앙대로702번길 21 (부전동),2007-03-21,,,,,영업/정상,영업,387670.269977414,185976.500758387,2024-11-15 11:18:19,,,20060525,,,,,,,,,,,박물관,전문박물관,1종,,,,,,,,,,,,,사립,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
7,6260000,B04012008000001,03_07_05_P,U,2024-10-11 02:40:00,"박물관, 미술관",범어사 성보박물관,,부산광역시 금정구 청룡동 546번지,,부산광역시 금정구 범어사로 250 (청룡동),2008-06-25,,,,,영업/정상,영업,388128.926433953,200280.928194332,2019-04-17 09:51:11,,,20030323,,,,,,,,,,,박물관,전문박물관,1종,,,,,,,,,,,,,사립,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6260000,B04012009000001,03_07_05_P,U,2024-10-11 02:40:00,"박물관, 미술관",킴스아트필드미술관,,부산광역시 금정구 금성동 285번지,,부산광역시 금정구 죽전1길 29 (금성동),2009-01-23,,,,,영업/정상,영업,386901.690585491,196718.922970616,2018-07-03 17:57:18,,,20090123,,,,,,,,,,,미술관,미술관,1종,,,,,,,,,,,,,사립,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6260000,B04012009000002,03_07_05_P,U,2024-10-11 02:40:00,"박물관, 미술관",오륜대 한국순교자기념관,,부산광역시 금정구 부곡동 1번지 4호,,부산광역시 금정구 오륜대로 106-1 (부곡동),2009-02-27,,,,,영업/정상,영업,391184.538799756,196112.15967406,2019-04-17 09:51:22,,,19820925,,,,,,,,,,,박물관,전문박물관,1종,,,,,,,,,,,,,사립,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6260000,B04012009000003,03_07_05_P,U,2024-10-11 02:40:00,"박물관, 미술관",동아대학교박물관,,부산광역시 서구 부민동2가 1번지,,부산광역시 서구 구덕로 225 (부민동2가),2001-11-28,,,,,영업/정상,영업,384047.41688983,180228.452549615,2019-03-11 14:43:50,,,19591101,,,,,,,,,,,박물관,종합박물관,1종,,,,,,,,,,,,,대학,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
